Line 454: +1 -0 -> Net: 1 | <div className="flex items-center gap-3">
Line 466: +0 -1 -> Net: 0 | </div>
Line 469: +1 -0 -> Net: 1 | <div className="space-y-6">
Line 472: +1 -0 -> Net: 2 | <div className="flex flex-col sm:flex-row sm:items
Line 473: +1 -0 -> Net: 3 | <div className="flex items-center gap-1 border-b b
Line 486: +0 -1 -> Net: 2 | </div>
Line 489: +1 -0 -> Net: 3 | <div className="flex items-center bg-slate-100 dar
Line 502: +0 -1 -> Net: 2 | </div>
Line 504: +0 -1 -> Net: 1 | </div>
Line 508: +1 -0 -> Net: 2 | <div className="grid grid-cols-1 xl:grid-cols-4 ga
Line 509: +1 -0 -> Net: 3 | <div className="xl:col-span-3 space-y-6">
Line 511: +1 -0 -> Net: 4 | <div className="grid grid-cols-1 md:grid-cols-3 ga
Line 513: +1 -0 -> Net: 5 | <div className="space-y-4">
Line 514: +1 -0 -> Net: 6 | <div className="flex items-center justify-between"
Line 515: +1 -0 -> Net: 7 | <div className="flex items-center gap-2">
Line 521: +0 -1 -> Net: 6 | </div>
Line 522: +0 -1 -> Net: 5 | </div>
Line 523: +1 -0 -> Net: 6 | <div className="space-y-3">
Line 527: +1 -0 -> Net: 7 | <div key={req.id} className="bg-white dark:bg-slat
Line 528: +1 -0 -> Net: 8 | <div className="flex justify-between items-start m
Line 537: +0 -1 -> Net: 7 | </div>
Line 540: +1 -0 -> Net: 8 | <div className="flex items-center gap-2 pt-3 borde
Line 541: +1 -0 -> Net: 9 | <div className="w-6 h-6 rounded-full bg-indigo-100
Line 543: +0 -1 -> Net: 8 | </div>
Line 544: +1 -0 -> Net: 9 | <div className="flex-1 min-w-0">
Line 547: +0 -1 -> Net: 8 | </div>
Line 548: +0 -1 -> Net: 7 | </div>
Line 549: +0 -1 -> Net: 6 | </div>
Line 551: +0 -1 -> Net: 5 | </div>
Line 552: +0 -1 -> Net: 4 | </div>
Line 555: +1 -0 -> Net: 5 | <div className="space-y-4">
Line 556: +1 -0 -> Net: 6 | <div className="flex items-center justify-between"
Line 557: +1 -0 -> Net: 7 | <div className="flex items-center gap-2">
Line 563: +0 -1 -> Net: 6 | </div>
Line 564: +0 -1 -> Net: 5 | </div>
Line 565: +1 -0 -> Net: 6 | <div className="space-y-3">
Line 569: +1 -0 -> Net: 7 | <div key={req.id} className="bg-indigo-50/30 dark:
Line 570: +1 -0 -> Net: 8 | <div className="flex justify-between items-start m
Line 573: +0 -1 -> Net: 7 | </div>
Line 575: +1 -0 -> Net: 8 | <div className="w-full bg-indigo-100 dark:bg-indig
Line 577: +0 -1 -> Net: 7 | </div>
Line 578: +1 -0 -> Net: 8 | <div className="flex items-center gap-2 pt-2">
Line 581: +0 -1 -> Net: 7 | </div>
Line 582: +0 -1 -> Net: 6 | </div>
Line 584: +0 -1 -> Net: 5 | </div>
Line 585: +0 -1 -> Net: 4 | </div>
Line 588: +1 -0 -> Net: 5 | <div className="space-y-4">
Line 589: +1 -0 -> Net: 6 | <div className="flex items-center justify-between"
Line 590: +1 -0 -> Net: 7 | <div className="flex items-center gap-2">
Line 596: +0 -1 -> Net: 6 | </div>
Line 597: +0 -1 -> Net: 5 | </div>
Line 598: +1 -0 -> Net: 6 | <div className="space-y-3">
Line 602: +1 -0 -> Net: 7 | <div key={req.id} className="bg-white dark:bg-slat
Line 603: +1 -0 -> Net: 8 | <div className="flex justify-between items-center 
Line 606: +0 -1 -> Net: 7 | </div>
Line 609: +0 -1 -> Net: 6 | </div>
Line 611: +0 -1 -> Net: 5 | </div>
Line 612: +0 -1 -> Net: 4 | </div>
Line 613: +0 -1 -> Net: 3 | </div>
Line 615: +1 -0 -> Net: 4 | <div className="space-y-6">
Line 616: +1 -0 -> Net: 5 | <div className="grid grid-cols-1 lg:grid-cols-2 ga
Line 618: +1 -0 -> Net: 6 | <div className="bg-white dark:bg-slate-800 rounded
Line 621: +1 -0 -> Net: 7 | <div>
Line 635: +0 -1 -> Net: 6 | </div>
Line 637: +1 -0 -> Net: 7 | <div>
Line 650: +0 -1 -> Net: 6 | </div>
Line 652: +1 -0 -> Net: 7 | <div className="grid grid-cols-2 gap-2">
Line 653: +1 -0 -> Net: 8 | <div>
Line 672: +0 -1 -> Net: 7 | </div>
Line 673: +1 -0 -> Net: 8 | <div>
Line 682: +0 -1 -> Net: 7 | </div>
Line 683: +0 -1 -> Net: 6 | </div>
Line 685: +1 -0 -> Net: 7 | <div>
Line 695: +0 -1 -> Net: 6 | </div>
Line 697: +1 -0 -> Net: 7 | <div className="flex justify-end">
Line 701: +0 -1 -> Net: 6 | </div>
Line 703: +0 -1 -> Net: 5 | </div>
Line 706: +1 -0 -> Net: 6 | <div className="bg-white dark:bg-slate-800 rounded
Line 708: +1 -0 -> Net: 7 | <div className="grid grid-cols-2 gap-3">
Line 709: +1 -0 -> Net: 8 | <div className="p-4 rounded-xl border border-indig
Line 712: +0 -1 -> Net: 7 | </div>
Line 713: +1 -0 -> Net: 8 | <div className="p-4 rounded-xl border border-amber
Line 716: +0 -1 -> Net: 7 | </div>
Line 717: +1 -0 -> Net: 8 | <div className="p-4 rounded-xl border border-emera
Line 720: +0 -1 -> Net: 7 | </div>
Line 721: +1 -0 -> Net: 8 | <div className="p-4 rounded-xl border border-rose-
Line 724: +0 -1 -> Net: 7 | </div>
Line 725: +0 -1 -> Net: 6 | </div>
Line 726: +0 -1 -> Net: 5 | </div>
Line 729: +1 -0 -> Net: 6 | <div className="bg-white dark:bg-slate-800 p-6 rou
Line 734: +1 -0 -> Net: 7 | <div className="table-container shadow-none ring-0
Line 786: +1 -0 -> Net: 8 | <div className="text-[10px] text-slate-500 leading
Line 788: +0 -1 -> Net: 7 | </div>
Line 817: +0 -1 -> Net: 6 | </div>
Line 819: +0 -1 -> Net: 5 | </div>
Line 820: +0 -1 -> Net: 4 | </div>
